task,positional,seed,cohort,ood,digits,d_model,n_layers,steps,params,lr,loss_reduction,final_loss,diverged,flat,device,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
addition,abacus,0,id_1d,False,1,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,41,1.0,1.0,0.121951,0.44615,1.000|1.000,0.0
addition,abacus,0,id_2d,False,2,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.013,0.3148,1.000|1.000|1.000,0.0
addition,abacus,0,id_3d,False,3,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.004,0.26297,1.000|1.000|1.000|1.000,0.0
addition,abacus,0,id_4d,False,4,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.0015,0.22979,1.000|1.000|1.000|1.000|1.000,0.0
addition,abacus,0,ood_5d,True,5,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,0.8185,0.96095,0.001,0.20418,0.823|0.962|0.998|1.000|1.000|1.000,1.204
addition,abacus,0,ood_6d,True,6,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,0.8015,0.96378,0.001,0.19165,0.849|0.945|0.993|0.999|0.996|0.981|1.000,1.204
addition,abacus,0,ood_7d,True,7,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,0.7625,0.96302,0.001,0.18183,0.820|0.943|0.984|0.999|0.995|0.990|0.990|1.000,1.185
addition,abacus_rope,0,id_1d,False,1,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,41,1.0,1.0,0.121951,0.44615,1.000|1.000,0.0
addition,abacus_rope,0,id_2d,False,2,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.013,0.3148,1.000|1.000|1.000,0.0
addition,abacus_rope,0,id_3d,False,3,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.004,0.26297,1.000|1.000|1.000|1.000,0.0
addition,abacus_rope,0,id_4d,False,4,256,4,6000,3172621,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.0015,0.22979,1.000|1.000|1.000|1.000|1.000,0.0
