run_id,exp,regime,seed,device,n_layers,d_model,n_heads,params,budget_mode,budget,steps_completed,construct_seconds,train_seconds,lr,batch_size,first_train_loss,final_train_loss,diverged,flat_from_start,eval_set,T,ood_n,ood_t,n_eval,digit_acc,exact_acc,chance_digit,chance_exact
exp1_e1_fixed323_L4_d256_steps1500_s0,exp1,e1_fixed323,0,cuda:3,4,256,4,3171601,steps,1500.0,1500,0.877,14.279,0.0003,256,2.81355,0.00016,False,False,depth_seen_n_t32,32,False,True,64,0.08092,0.01562,0.38728,0.140625
exp1_e1_fixed323_L4_d256_steps1500_s0,exp1,e1_fixed323,0,cuda:3,4,256,4,3171601,steps,1500.0,1500,0.877,14.279,0.0003,256,2.81355,0.00016,False,False,depth_ood_n_t32,32,True,True,64,0.05914,0.01562,0.20968,0.046875
exp1_e1_fixed323_L4_d256_steps1500_s0,exp1,e1_fixed323,0,cuda:3,4,256,4,3171601,steps,1500.0,1500,0.877,14.279,0.0003,256,2.81355,0.00016,False,False,depth_seen_n_t48,48,False,True,64,0.0814,0.04688,0.39535,0.140625
exp1_e1_fixed323_L4_d256_steps1500_s0,exp1,e1_fixed323,0,cuda:3,4,256,4,3171601,steps,1500.0,1500,0.877,14.279,0.0003,256,2.81355,0.00016,False,False,depth_ood_n_t48,48,True,True,64,0.10471,0.01562,0.21466,0.0625
exp1_e1_fixed323_L4_d256_steps1500_s0,exp1,e1_fixed323,0,cuda:3,4,256,4,3171601,steps,1500.0,1500,0.877,14.279,0.0003,256,2.81355,0.00016,False,False,depth_seen_n_t64,64,False,True,64,0.10465,0.07812,0.38372,0.140625
exp1_e1_fixed323_L4_d256_steps1500_s0,exp1,e1_fixed323,0,cuda:3,4,256,4,3171601,steps,1500.0,1500,0.877,14.279,0.0003,256,2.81355,0.00016,False,False,depth_ood_n_t64,64,True,True,64,0.10881,0.01562,0.19171,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,id_test,,False,False,100,0.18421,0.03,0.27444,0.09
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t1,1,False,False,64,0.16477,0.0,0.27273,0.046875
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_ood_n_t1,1,True,False,64,0.10471,0.01562,0.20419,0.03125
exp1_e1_fixed323_L4_d256_seconds60_s0,exp1,e1_fixed323,0,cuda:1,4,256,4,3171601,seconds,60.0,7079,0.03,60.002,0.0003,256,2.81355,1e-05,False,False,depth_seen_n_t2,2,False,False,64,0.17442,0.0,0.26744,0.0625
