variant,positional,seed,cohort,digit_length,ood,n_layers,n_loops_trained,pass_count,d_model,steps,params,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
carryless,rope,0,ood_7d,7,True,2,4,4,256,8000,1586701,2000,0.0,0.27008,0.001,0.19642,0.223|0.101|0.118|0.064|0.126|0.244|0.177|0.203|0.220|0.302|0.231|0.609|0.893,9.489
carryless,rope,0,ood_7d,7,True,2,4,8,256,8000,1586701,2000,0.0,0.26946,0.001,0.19642,0.224|0.098|0.119|0.055|0.126|0.244|0.174|0.208|0.209|0.306|0.230|0.612|0.898,9.497
carryless,rope,0,ood_7d,7,True,2,4,16,256,8000,1586701,2000,0.0,0.26804,0.001,0.19642,0.225|0.098|0.121|0.052|0.126|0.246|0.171|0.205|0.206|0.307|0.227|0.609|0.892,9.515
carryless,rope,0,ood_7d,7,True,2,4,32,256,8000,1586701,2000,0.0,0.26731,0.001,0.19642,0.223|0.098|0.125|0.051|0.124|0.245|0.168|0.203|0.204|0.305|0.225|0.606|0.897,9.525
carryless,rope,0,ood_8d,8,True,2,4,2,256,8000,1586701,2000,0.0,0.22443,0.0005,0.19153,0.299|0.136|0.114|0.152|0.111|0.008|0.118|0.205|0.101|0.186|0.107|0.239|0.347|0.481|0.760,11.633
carryless,rope,0,ood_8d,8,True,2,4,4,256,8000,1586701,2000,0.0,0.2369,0.0005,0.19153,0.239|0.153|0.120|0.154|0.114|0.007|0.116|0.191|0.101|0.191|0.112|0.249|0.385|0.535|0.887,11.447
carryless,rope,0,ood_8d,8,True,2,4,8,256,8000,1586701,2000,0.0,0.23503,0.0005,0.19153,0.234|0.148|0.120|0.147|0.116|0.005|0.111|0.192|0.103|0.189|0.106|0.252|0.377|0.534|0.890,11.475
carryless,rope,0,ood_8d,8,True,2,4,16,256,8000,1586701,2000,0.0,0.2346,0.0005,0.19153,0.243|0.148|0.117|0.140|0.114|0.004|0.109|0.196|0.104|0.190|0.107|0.253|0.373|0.531|0.890,11.481
carryless,rope,0,ood_8d,8,True,2,4,32,256,8000,1586701,2000,0.0,0.23317,0.0005,0.19153,0.247|0.148|0.116|0.138|0.112|0.005|0.109|0.195|0.104|0.187|0.106|0.256|0.362|0.526|0.885,11.502
full,rope,0,train_seen,-1,False,2,4,2,256,8000,1586701,2000,0.0045,0.54458,0.0005,0.14399,1.000|0.963|0.612|0.234|0.172|0.176|0.263|0.424|0.817|0.991,4.264
full,rope,0,train_seen,-1,False,2,4,4,256,8000,1586701,2000,0.943,0.99351,0.0005,0.14399,1.000|1.000|0.999|0.998|0.985|0.977|0.986|0.996|0.998|1.000,1.061
full,rope,0,train_seen,-1,False,2,4,8,256,8000,1586701,2000,0.169,0.82312,0.0005,0.14399,1.000|0.999|0.980|0.832|0.525|0.439|0.699|0.899|0.958|0.992,1.984
full,rope,0,train_seen,-1,False,2,4,16,256,8000,1586701,2000,0.036,0.68771,0.0005,0.14399,0.990|0.896|0.850|0.622|0.360|0.310|0.523|0.708|0.792|0.936,3.019
full,rope,0,train_seen,-1,False,2,4,32,256,8000,1586701,2000,0.0035,0.52495,0.0005,0.14399,0.897|0.634|0.641|0.440|0.265|0.232|0.362|0.495|0.596|0.796,4.443
full,rope,0,id_1d,1,False,2,4,2,256,8000,1586701,5,0.8,0.875,0.2,0.375,1.000|0.667,1.0
full,rope,0,id_1d,1,False,2,4,4,256,8000,1586701,5,1.0,1.0,0.2,0.375,1.000|1.000,0.0
full,rope,0,id_1d,1,False,2,4,8,256,8000,1586701,5,1.0,1.0,0.2,0.375,1.000|1.000,0.0
full,rope,0,id_1d,1,False,2,4,16,256,8000,1586701,5,0.8,0.875,0.2,0.375,1.000|0.667,1.0
full,rope,0,id_1d,1,False,2,4,32,256,8000,1586701,5,0.4,0.5,0.2,0.375,0.600|0.333,1.333
full,rope,0,id_2d,2,False,2,4,2,256,8000,1586701,45,0.24444,0.73684,0.022222,0.20468,0.978|0.600|0.489|0.917,1.324
full,rope,0,id_2d,2,False,2,4,4,256,8000,1586701,45,0.71111,0.91228,0.022222,0.20468,0.956|0.889|0.844|0.972,1.154
full,rope,0,id_2d,2,False,2,4,8,256,8000,1586701,45,0.35556,0.78947,0.022222,0.20468,0.933|0.844|0.556|0.833,1.241
full,rope,0,id_2d,2,False,2,4,16,256,8000,1586701,45,0.11111,0.61988,0.022222,0.20468,0.822|0.533|0.467|0.667,1.625
full,rope,0,id_2d,2,False,2,4,32,256,8000,1586701,45,0.02222,0.45029,0.022222,0.20468,0.511|0.378|0.356|0.583,2.136
